TF instance,TF,Curations using the TF instance
NP_799324,LexA,"1, 664"
NP_231738,Fur,"2, 3, 4, 5, 429, 430"
YP_006516164,LexA,"6, 135, 379"
YP_006516595,DosR,"52, 63, 65, 66, 67"
NP_417816,CRP,"7, 38, 39, 978"
NP_232157,RpoN,"8, 9, 10, 11"
NP_601480,Zur,"305, 1081"
NP_993114,PhoP,383
NP_460201,PhoP,"13, 398"
NP_669111,PhoP,14
YP_003883436,SlyA,15
NP_935563,SmcR,70
NP_462369,CRP,17
YP_006513920,Mce2R,"16, 18, 19, 21, 23, 24, 25"
NP_460619,CRP,22
NP_418467,LexA,"68, 69, 119, 288, 287, 286, 665, 1034"
YP_001718938,OmpR,"28, 29"
YP_002820982,,
YP_002819093,,
YP_002819247,ToxR,442
NP_232275,AphA,"34, 36, 37, 505"
YP_001218139,AphA,"33, 35, 42, 50, 512"
YP_002343760,PerR,41
NP_991574,CRP,"43, 558, 820"
YP_001216517,AphB,"44, 51, 54, 55"
YP_001218107,CRP,45
YP_001216319,ToxT,"46, 47, 48, 49, 543"
YP_001008150,OmpR,"58, 59, 450"
NP_230694,AphB,"56, 57"
NP_744292,LexA,"60, 62"
NP_745260,LexA,"61, 127"
NP_251697,LexA,"64, 129, 800"
YP_004190599,LuxT,"189, 940"
NP_438908,LexA,"72, 73, 115"
YP_817219,CcpA,"74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88"
NP_992452,Fur,"89, 90, 314"
YP_002753375,LexA,"91, 93"
YP_002928245,CRP,12
NP_253452,Fur,"296, 94, 188, 306, 411, 412, 407, 408, 523"
YP_002262340,Fur,"95, 96"
YP_632617,LexA,"97, 98"
NP_970244,LexA,"472, 473"
YP_003367550,RegA,"410, 409"
NP_415533,RutR,"102, 103"
NP_229751,LexA,"147, 304"
NP_297415,LexA,"109, 110"
NP_642070,LexA,"111, 597, 598"
NP_951103,LexA,112
NP_952668,LexA,113
NP_385716,LexA,"114, 132"
YP_865991,LexA,123
YP_180999,LexA,"124, 125"
NP_636473,LexA,128
NP_354402,LexA,131
NP_389668,LexA,"126, 348"
NP_217236,LexA,174
NP_441090,LexA,302
YP_352048,LexA,"92, 151, 159"
NP_794261,Fur,"374, 373, 406, 405, 404"
YP_005590523,Fur,221
NP_414543,,
NP_415850,FNR,"156, 377, 378, 178, 179"
NP_420709,LexA,"158, 160"
YP_915930,LexA,161
NP_415338,MntR,"162, 163"
NP_415476,MatP,"167, 165, 168"
YP_002406666,Fur,226
NP_488948,LexA,"299, 303, 389"
YP_887073,LexA,"385, 386, 388"
YP_002424788,Fur,"247, 248, 686"
YP_208810,Fur,"269, 354, 510, 650"
NP_933807,,
YP_002266032,Fur,"228, 441, 252, 253, 273, 700, 1031, 1052, 1054, 1065"
NP_759186,Fur,560
NP_932246,,
YP_002158591,LuxR ,"192, 194, 898, 904, 907"
YP_004189438,Fur,"432, 438, 440, 439, 879"
YP_004187487,CRP,372
YP_005236408,Fur,"241, 242"
NP_805932,,
YP_004565686,Fur,"445, 901"
NP_743929,IHF,790
NP_807614,OmpR,"437, 444, 431, 446, 447"
YP_204193,Fur,310
NP_744619,IHF,"426, 757, 756, 790, 795"
YP_001217629,Fur,"443, 595, 988"
NP_798895,OpaR,"207, 208"
NP_252167,RhlR,"418, 419, 734, 780, 783, 823"
NP_390233,Fur,"332, 280, 436, 462, 465, 471, 527"
NP_252075,AmrZ,"238, 631, 963, 1010"
NP_249788,FleQ,"413, 414, 643, 648"
NP_388753,PerR,"433, 434, 278, 435, 500, 522, 534, 535, 1084"
NP_249343,Vfr,"246, 244, 245, 572, 575, 593, 594, 666, 784"
NP_415209,Fur,"357, 358, 333, 359, 356, 309, 428, 336, 427, 684, 733"
YP_001969063,Fur,259
YP_489398,PhoP,"380, 381"
NP_993491,RovA,384
NP_390389,Zur,"263, 279, 552, 556"
NP_216875,Zur,260
YP_792268,MvfR,265
NP_251539,OhrR,"353, 352"
NP_253948,AlgR,"268, 271, 325, 458, 459, 460, 461, 752, 755, 763"
NP_250122,RsaL,"274, 275, 704, 773"
NP_746600,PhhR,"276, 277, 281, 282, 283, 284"
YP_003250887,LexA,"390, 391"
NP_415648,PhoP,"392, 393, 394"
YP_443002,LexA,403
YP_791822,LasR,416
NP_250121,LasR,"475, 415, 421, 422, 423, 424, 425, 576, 578, 653, 766, 767"
YP_789670,LasR,417
NP_301742,LexA,387
NP_663951,PerR,315
YP_007859326,Zur,"313, 312"
YP_226172,LexA,316
NP_274287,Zur,"322, 321, 319, 323"
YP_243836,Zur,"327, 328, 329, 330"
YP_792403,PhhR,324
YP_001053911,Fur,335
NP_464827,LexA,"337, 338"
NP_415739,NarL,376
YP_186227,LexA,"339, 340, 487"
YP_002346645,PhoP,"341, 342"
YP_001720620,"RovA, H-NS","345, 346, 347"
YP_185556,SarA,349
NP_387385,ExpR,"361, 362, 363, 952, 943, 946"
YP_007450972,LexA,"375, 364, 367, 366, 368, 371"
YP_007452340,Sll0822,"370, 977"
YP_007451729,sll0359,369
YP_029930.1,,
YP_029930,CodY,"480, 481, 482, 498, 509"
NP_952546,PilR,449
