ECO Term Label,ECO term ID,ECO term ID to be mapped by CollecTF,ECO term label to be mapped by CollecTF,"Cross-product ECO codes to be created (M - manual assertion, A - Automatic assertion, MA - manual and automatic assertion)",Cross-product ECO code to be used by CollecTF (retroactive assignment),CollecTF experimental technique,CollecTF-provided definition (rough),Preset Function (CollecTF major heading),Sub-category under major heading,ECO term ID,Suggested Term: ECO term label,New Definition ,Dbxrefs,Synonyms,Synonym xref,Comments,Comments xref,Notes
two-dimensional polyacrylamide gel electrophoresis evidence,ECO:0005503,ECO:0005614,two-dimensional polyacrylamide gel electrophoresis evidence used in manual assertion,M,M,2D PAGE,"2-D electrophoresis begins with 1-D electrophoresis but then separates the molecules by a second property in a direction 90 degrees from the first. In 1-D electrophoresis, proteins (or other molecules) are separated in one dimension, so that all the proteins/molecules will lie along a lane but that the molecules are spread out across a 2-D gel. The two dimensions that proteins are separated into using this technique can be isoelectric point, protein complex mass in the native state, and protein mass. This technique is most commonly used when trying to establish a proteome for an organism, but can be used to demonstrate changes in expression, in the change in size/concentration of the spot on the gel that corresponds to the target protein.",Expression,"Gel electrophoresis
Proteomic assay",ECO:0000339 (SN:ECO:0005503),two-dimensional agarose gel electrophoresis evidence (SN:two-dimensional polyacrylamide gel electrophoresis evidence),"(SN:polyacrylamide gels are used)A type of gel electrophoresis beginning with one dimension electrophoresis where biomolecules are electrophoresed on a low percentage agarose gel  to be separated in proportion to their mass or isoelectric point, followed by high voltage electrophoresis on a higher percentage gel in the presence of ethidium bromide to alter non-linear molecular shape.",,2D-PAGE,,Two-dimensional agarose gel electrophoresis is commonly employed to establish a proteome for an organism and demonstrate expression changes.,,
alkaline phosphatase reporter gene assay evidence,ECO:0001801,ECO:0005615,alkaline phosphatase reporter gene assay evidence used in manual assertion,M,M,Alkaline phosphatase reporter gene assay,"Very similar in spirit to the standard beta-galactosidase reporter, in this assay genes coding for a protein of interest are fused with the phoA gene encoding alkaline phosphatase. The result is often a hybrid protein with alkaline phosphatase activity. PhoA becomes active only when it has been transported across the cellular membrane into the periplasmic space, allowing to trace activity of secreted proteins.",Expression,"Gene fusion assays
In vivo techniques",ECO:0001801,reporter gene assay evidence,A type of reporter gene assay evidence based on the fusion of selected genes with the phoA gene to express alkaline phosphatase in periplasmic space for protein tracing.,,"Secreted Embryonic Alkaline Phosphatase reporter assay [related]
SEAP reporter assay [related]
",,Alkaline phosphatase reporter assay produces a hybrid protein with alkaline phosphatase activity following transportation across the cellular membrane.  ,,
beta-galactosidase reporter gene assay evidence,ECO:0001802,ECO:0005616,beta-galactosidase reporter gene assay evidence used in manual assertion,M,M,Beta-galactosidase reporter gene assay,Reporter assay using the beta-galactosidase (lacZ) gene. The lacZ gene is typically fused to the promoter of interest. Differential regulation of the promoter mediated by the TF is assessed by induction of the system and evaluation of lacZ expression. Bacteria expressing lacZ appear blue when grown on a X-gal medium. The assay is often performed using a plasmid borne construction on a lacZ(def) strain.,Expression,"Gene fusion assays
In vivo techniques",ECO:0001802,reporter gene assay evidence,A type of reporter gene assay evidence based on the fusion of the lacZ gene to a specific promoter for the expression of beta-galactosidase which will appear blue when grown on a X-gal medium.,PMID: 20439410,"beta-gal [exact]
lacZ [related]",PMID: 20439410,The assay is often performed using a plasmid borne construction on a lacZ strain.,,
chloramphenicol acetyltransferase reporter gene assay evidence,ECO:0001803,ECO:0005617,chloramphenicol acetyltransferase reporter gene assay evidence used in manual assertion,M,M,CAT reporter gene assays,"A reporter assay based on the fusion of a promoter of interest with the cat gene, which produces chloramphenicol acetyltransferase, capable of being acetylated by acetyl CoA. The amount of acetylated chloramphenicol is directly proportional to the amount of CAT enzyme present.",Expression,"Gene fusion assays
In vivo techniques",ECO:0001803,reporter gene assay evidence,A type of reporter gene assay evidence based on the fusion of the CAT gene to a specific promoter for the expression of chloramphenicol acetyltransferase which confers resistance to the chloramphenicol antibiotic.,PMID: 1630936,CAT reporter gene assay,PMID: 1630936,The amount of acetylated chloramphenicol is directly proportional to the amount of CAT enzyme present.,,
chromatin immunoprecipitation-chip evidence,ECO:0000230,ECO:0005618,chromatin immunoprecipitation-chip evidence used in automatic assertion,A,A,ChIP-chip,"The principle of ChIP-chip is again simple. The first step is to cross-link the protein-DNA complex. This is done using a fixating agent, such as formaldehyde. The cross-linking can later be reversed with heat. Cross-linking kills the cell, giving a snapshot of the bound TF at a given time. The cell is then lysed, the DNA sheared by sonication and the chromatin[2] (TF-DNA complexes) is pulled down using an antibody (i.e. immunoprecipitated). If an antibody for the TF is available, then it is used; otherwise, the TF is tagged with an epitope targeted by commercially available antibodies (the latter option is cheaper, but runs the risk of altering the TF's functionality). Cross-linking is then reversed to free the bound DNA, which is then amplified, labeled with a fluorophore and dumped onto a DNA-array. The scanned array reveals the genomic regions bound by the TF. The resolution is around ~500 bp as a result of the sonication step.",Binding,"Array methods
Immunoprecipitation methods
In vivo techniques
Substrate immobilization",ECO:0000230,chromatin immunoprecipitation-chip evidence,A type of chromatin immunoprecipitation evidence that uses a tiling microarray for the detection of protein-bound DNA regions where chromatin is immunoprecipitated for protein tagging and DNA is sheared from the cross-linked protein-DNA complex to be arrayed revealing the protein-bound genomic regions. ,"PMID: 19381927
PMID:18388953",See ECO,PMID: 19381927,"A fixating agent such as formaldehyde is used to cross link proteins and DNA. Sonication is applied for DNA shearing. For transcription factor tagging, an antibody or epitope is employed. After cross-linking is reversed, the DNA is amplified and labeled with a flourophore for microarray which produces a resolution of aproximately 500 bp.",,
chromatin immunoprecipitation- exonuclease evidence,ECO:0001806,ECO:0005619,chromatin immunoprecipitation- exonuclease evidence used in automatic assertion,A,A,ChIP-exo,"A variation of ChIP-seq involving the addition of an exonuclease that cleaves the ChIPed DNA that is not strictly protected by the bound protein, resulting in improved resolution of the binding site during the later sequencing step.",Binding,"Immunoprecipitation methods
In vivo techniques
Nucleic acid protection assay
Sequencing-based methods
",ECO:0001806,chromatin immunoprecipitation evidence,A type of chromatin immunoprecipitation evidence that uses gama-exonuclease to digest TF-unbound DNA after ChIP for the identification of transcription factor binding site locations with high-resolution data.,PMID: 25249628,"ChIP-exo
",PMID: 25249628,,,
chromatin immunoprecipitation-PCR evidence,ECO:0000227,ECO:0005620,chromatin immunoprecipitation-PCR evidence used in manual assertion,M,M,ChIP-PCR,"ChIP-chip (and to a lesser degree ChIP-Seq) results are often validated with ChIP-PCR, in which a PCR with specific primers is performed on the pulled-down DNA. As in the case of RNASeq, there are many variations of these main techniques.",Binding,"Immunoprecipitation methods
In vivo techniques
PCR-based techniques
",ECO:0000227,chromatin immunoprecipitation-PCR evidence,"A type of chromatin immunoprecipitation (ChIP) evidence that uses polymerase chain reaction (PCR) where specific primers are used on the pulled-down DNA for DNA detection.
",PMID: 18388953,See ECO,,"ChIP-PCR is often used to validate ChIP-chip results and less frequently,ChIP-Seq results.",,
chromatin immunoprecipitation-seq evidence,ECO:0000229,ECO:0005621,chromatin immunoprecipitation-seq evidence used in automatic assertion,A,A,ChIP-Seq,"ChIP-Seq is equivalent to ChIP-chip down to the last step. In ChIP-Seq, immunoprecipiated DNA fragments are prepared for sequencing and funneled into a massively parallel sequencer that produces short reads. Even though the sonication step is the same as in ChIP-chip, ChIP-Seq will generate multiple short-reads within any given 500 bp region, thereby pinning down the location of TFBS to within 50-100 bp. A similar result can be obtained with ChIP-chip using high-density tiling-arrays. The downside of ChIP-Seq is that sensitivity is proportional to cost, as sensitivity increases with the number of (expensive) parallel sequencing runs. To control for biases, ChIP-seq experiments often use the ""input"" as a control. This is DNA sequence resulting from the same pipeline as the ChIP-seq experiment, but omitting the immunoprecipitation step. It therefore should have the same accessibility and sequencing biases as the experiment data.",Binding,"Immunoprecipitation methods
In vivo techniques
Sequencing based methods",ECO:0000229,chromatin immunoprecipitation-seq evidence,A type of chromatin immunoprecipitation evidence that uses high-throughput sequencing where immunoprecipitated DNA fragments are funneled into a massively parallel sequencer to produce multiple short reads for locating binding sites of DNA-associated proteins. ,PMID: 22955991,See ECO,PMID: 22955991,"ChIP-Seq experiments often use the input as a control to eliminate biases. To obtain similar results, ChIP-chip with high-density tiling arrays can be used.",,
comparative genomics motif search evidence,ECO:0005534,ECO:0005622,comparative genomics motif search evidence used in manual assertion,MA,M,Comparative genomics search,"As with motif discovery, TF-binding sites search benefits from a comparative genomics approach. Searching a single genome for TFBS will yield very noisy results. If a number of related genomes are searched, then the search results can be compared and strengthened by requiring that a site be located, for instance, in the promoter region of the same gene for at least two or three species. As in the case of motif discovery, these methods are not often applied to verify experimental results, but can be used to guide experimental research. For instance, comparative genomics searches can be implemented to detect good candidate sites, which are then verified using an experimental technique.",In-silico,In-silico site prediction,ECO:0005534,comparative genomics motif search evidence,"A type of motif similarity evidence based on comparative genomics which uses a search method to scan a set of genomes for instances of a specific motif, and then applies a comparative criterion to analyze the collective strength of these predictions, based on the assumption that functional instances of the motif will be preserved by natural selection and their prediction will therefore be consistent across genomes.",PMID: 10854408,,,This technique is used to predict transcription factor binding sites in gene promoter regions by identifying conserved DNA regions across multiple genomes. PMID: 22305460. Orthology is a typical comparative criterion used.,PMID: 22305460,"Is this a sequence alignment that is manually reviewed?
A tool for this: https://www.genomatix.de/online_help/help_matinspector/matinspector_help.html"
consensus search evidence,ECO:0005532,ECO:0005624,consensus search evidence used in manual assertion,MA,M,Consensus search,"This is a weak form of in-silico search, in which the consensus sequence for the motif is compared to genomic positions and the number of mismatches (between candidate site and consensus) is used as a measure of site-quality.",In-silico,In-silico site prediction,ECO:0005532,consensus search evidence,"A type of motif similarity evidence where the motif is represented by a consensus sequence which incorporates the most frequent nucleotide at each position acting as a generic representative for the sequences in the alignment, and is compared to the genetic sequence  for a perfect or imperfect match. ",PMID:15130839,,,This technique is used to identify transcription factor binding sites by searching a bacterial genome for DNA regions resembling a given TF-binding motif. PMID: 17085555 ,PMID: 17085555,This needs clarity- is there a term for the consensus sequence alone? Using consensus results to compare with genomic positions to determine site quality (from mismatches). What site is being examined here?
