A0A024HKB0	EXPREG_00000fe0
A0A072Z841	EXPREG_000005a0
A0A074IWI7	EXPREG_00001020
A0A0B6P4W3	EXPREG_00000620
A0A0C6FYN7	EXPREG_000011b0
A0A0C7D413	EXPREG_000005d0
A0A0E2J8L1	EXPREG_00001120
A0A0F6AWN9	EXPREG_00000ad0
A0A0F6AXY2	EXPREG_000017e0
A0A0H0Y234	EXPREG_000013a0
A0A0H2ZHG6	EXPREG_00000f50
A0A0H2ZQ65	EXPREG_00000190
A0A0H3AK48	EXPREG_000006d0
A0A0H3C2M1	EXPREG_000008a0
A0A0H3CCL0	EXPREG_00001670
A0A0H3NC35	EXPREG_00000b80
A0A0H3Q915	EXPREG_00000840
A0KST7	EXPREG_000015b0
A0L9E2	EXPREG_00000290
A0QVY5	EXPREG_00000380
A0R5H1	EXPREG_00001170
A1B3Z0	EXPREG_00000340
A1JSH8	EXPREG_00000120
A2RHP2	EXPREG_00000a80
A2RKI6	EXPREG_000009b0
A3M333	EXPREG_00000870
A3N1M0	EXPREG_000005e0
A4FQD5	EXPREG_00001000
A4QDE6	EXPREG_00000a50
A4VT39	EXPREG_000007a0
A5F1W7	EXPREG_000007e0
A5F384	EXPREG_00000110
A5F6G4	EXPREG_00000430
A5F6Z2	EXPREG_000012d0
A7MVC2	EXPREG_000013b0
A7MXA8	EXPREG_00001220
A7MXJ7	EXPREG_000009a0
A8AWB2	EXPREG_00001150
A8CG91	EXPREG_00000aa0
A9BGA3	EXPREG_00001250
A9CJU2	EXPREG_00000790
B3G2A3	EXPREG_00000ee0
B3H1Z1	EXPREG_000004b0
B5EV73	EXPREG_000003c0
B5XI03	EXPREG_000011c0
B5Z6G7	EXPREG_000003b0
B5Z8Y5	EXPREG_00001710
B6EHL8	EXPREG_000001e0
B7J425	EXPREG_00000390
B8CQZ2	EXPREG_00001660
B9DUC0	EXPREG_000009d0
C1F978	EXPREG_000001b0
C9RNT7	EXPREG_00000530
D2BRN2	EXPREG_00000d50
D2TIS0	EXPREG_00000210
D3UIX2	EXPREG_00001810
E0SG24	EXPREG_00000080
F7X8H2	EXPREG_00001550
F8G324	EXPREG_00000f60
F9UQH6	EXPREG_000010d0
G0KUD5	EXPREG_00001610
G3XCU2	EXPREG_00000d40
G3XCV0	EXPREG_00000470
G3XCV1	EXPREG_00000e80
G3XCW6	EXPREG_00000bd0
G3XCY4	EXPREG_00000460
G3XD77	EXPREG_00000f80
G3XD78	EXPREG_00000510
G3XD97	EXPREG_00000db0
H7C6Q1	EXPREG_00000ca0
H7C6V6	EXPREG_00001110
H9L4T0	EXPREG_000000e0
I3NI96	EXPREG_00000060
I6L8Z5	EXPREG_000013e0
I6XF43	EXPREG_000010b0
I6XGD8	EXPREG_00000030
I6Y1J7	EXPREG_000002e0
I7CA98	EXPREG_00000ed0
K7WA79	EXPREG_00001740
M4MS71	EXPREG_00001530
M4MSP4	EXPREG_00000d00
M4U7P6	EXPREG_00000a30
M9TRG5	EXPREG_00000590
N0CDN9	EXPREG_000010f0
O25896	EXPREG_00001600
O32238	EXPREG_000017b0
O34015	EXPREG_00000100
O34844	EXPREG_000017a0
O51712	EXPREG_00001180
O85175	EXPREG_00000d90
P03031	EXPREG_000015c0
P0A0S8	EXPREG_00000ba0
P0A126	EXPREG_00000420
P0A128	EXPREG_000003f0
P0A153	EXPREG_00000140
P0A2T6	EXPREG_000000a0
P0A2T8	EXPREG_000000c0
P0A3E5	EXPREG_00000310
P0A4U6	EXPREG_00000cc0
P0A6R3	EXPREG_00000740
P0A6X7	EXPREG_00000710
P0A6Z6	EXPREG_00000ab0
P0A7C2	EXPREG_000000d0
P0A8N0	EXPREG_00000360
P0A9A9	EXPREG_000004a0
P0A9E0	EXPREG_00000ac0
P0A9E5	EXPREG_00000320
P0A9F1	EXPREG_00000350
P0A9Q1	EXPREG_000011a0
P0AA16	EXPREG_00000400
P0ACF8	EXPREG_00000750
P0ACJ0	EXPREG_000013d0
P0ACJ8	EXPREG_000001c0
P0ACL9	EXPREG_00001140
P0ACU2	EXPREG_00000220
P0AF28	EXPREG_00000600
P0C077	EXPREG_000016d0
P0C079	EXPREG_000016c0
P0C6C8	EXPREG_00000020
P0CAW8	EXPREG_00001680
P0DJO8	EXPREG_00001620
P0DM78	EXPREG_00000070
P10958	EXPREG_000014c0
P11720	EXPREG_00000f40
P13920	EXPREG_000006e0
P18811	EXPREG_000008c0
P23620	EXPREG_00000d10
P23836	EXPREG_00000540
P23873	EXPREG_000016f0
P23874	EXPREG_00001700
P24255	EXPREG_00000fb0
P24734	EXPREG_00000b70
P25084	EXPREG_00000560
P25144	EXPREG_000008d0
P26275	EXPREG_00000500
P26979	EXPREG_00000fd0
P26993	EXPREG_00000a10
P31080	EXPREG_000002d0
P33086	EXPREG_000001a0
P33117	EXPREG_000003d0
P35327	EXPREG_00001270
P37452	EXPREG_00000160
P37736	EXPREG_000003e0
P39779	EXPREG_000006a0
P40819	EXPREG_000016e0
P40883	EXPREG_00000ce0
P44858	EXPREG_00000180
P49988	EXPREG_00000c40
P50350	EXPREG_000015a0
P52106	EXPREG_00001570
P54292	EXPREG_00000570
P54294	EXPREG_00001400
P54479	EXPREG_000004c0
P54574	EXPREG_00000450
P55222	EXPREG_00000490
P57902	EXPREG_00000760
P59479	EXPREG_00000150
P60511	EXPREG_00000250
P61608	EXPREG_00000260
P61609	EXPREG_00000270
P61611	EXPREG_00001210
P71086	EXPREG_00000480
P72131	EXPREG_00000e30
P73722	EXPREG_00000650
P74171	EXPREG_000015f0
P74739	EXPREG_00000890
P96440	EXPREG_000015d0
P9WJB7	EXPREG_000012f0
P9WMG5	EXPREG_000000b0
P9WMK7	EXPREG_000010c0
P9WN85	EXPREG_000004d0
P9WP49	EXPREG_00001830
Q03456	EXPREG_000001d0
Q03AX7	EXPREG_00001390
Q0PB47	EXPREG_00000b50
Q0PBE2	EXPREG_00000af0
Q0PBF4	EXPREG_00000a60
Q0PBI7	EXPREG_000000f0
Q0WF12	EXPREG_000014b0
Q0WJZ2	EXPREG_00000800
Q18AR8	EXPREG_00001380
Q18B74	EXPREG_00001190
Q18BE1	EXPREG_00000720
Q1CU85	EXPREG_00000cd0
Q1D406	EXPREG_000001f0
Q1J8D4	EXPREG_000013f0
Q2FY73	EXPREG_000007c0
Q2G282	EXPREG_000008b0
Q2G295	EXPREG_00001130
Q2SVP7	EXPREG_00000550
Q3K4G1	EXPREG_00000e40
Q3Z9S7	EXPREG_000002a0
Q47149	EXPREG_000016a0
Q47150	EXPREG_000016b0
Q49848	EXPREG_00000580
Q4KFB4	EXPREG_00000ea0
Q4KKK3	EXPREG_00000e90
Q4UZF6	EXPREG_00000a70
Q500P4	EXPREG_00000bf0
Q51472	EXPREG_00000dd0
Q55432	EXPREG_00000660
Q5DYQ0	EXPREG_00001070
Q5E2D6	EXPREG_00001090
Q5E2H1	EXPREG_00001080
Q5E2Y1	EXPREG_000012b0
Q5E6P1	EXPREG_00000410
Q5F5Y9	EXPREG_000003a0
Q5H3E9	EXPREG_00001420
Q5HI51	EXPREG_00000640
Q5M4N8	EXPREG_000009e0
Q667Y0	EXPREG_000014a0
Q6MHM9	EXPREG_00000200
Q72P22	EXPREG_00001230
Q747A3	EXPREG_000006c0
Q74BZ1	EXPREG_00000700
Q74D24	EXPREG_00000690
Q74EF9	EXPREG_000006b0
Q79VI7	EXPREG_00000fc0
Q79YV4	EXPREG_00000440
Q7A2F4	EXPREG_00001750
Q7AKQ8	EXPREG_00001330
Q7BR72	EXPREG_00001760
Q7CFV3	EXPREG_00001490
Q7CFX0	EXPREG_00001480
Q7CL10	EXPREG_00001160
Q7CQY3	EXPREG_000008f0
Q7M7I9	EXPREG_000011e0
Q7ME71	EXPREG_00001050
Q7MHU7	EXPREG_00000090
Q7MLV6	EXPREG_00001040
Q7MMB6	EXPREG_00001030
Q7VHS0	EXPREG_000007b0
Q81WK7	EXPREG_00000680
Q820Q2	EXPREG_00001770
Q87KN2	EXPREG_00000010
Q87L53	EXPREG_000007f0
Q87WN7	EXPREG_00000300
Q87ZC1	EXPREG_00000c00
Q883X4	EXPREG_00000b60
Q884G0	EXPREG_00000e70
Q88C74	EXPREG_00000de0
Q88CY1	EXPREG_000009f0
Q88EH4	EXPREG_00000520
Q88F34	EXPREG_00000d80
Q88GK5	EXPREG_00000f30
Q88HH7	EXPREG_00000a00
Q88KZ5	EXPREG_00000b90
Q88N41	EXPREG_00000770
Q88P32	EXPREG_00000990
Q88PE9	EXPREG_00000bc0
Q88PQ6	EXPREG_00000c50
Q88RJ2	EXPREG_00000d70
Q8DNK2	EXPREG_00001260
Q8DU28	EXPREG_00001310
Q8DY68	EXPREG_00001410
Q8EAB9	EXPREG_000014f0
Q8EBJ8	EXPREG_000014d0
Q8EE50	EXPREG_00001590
Q8EE97	EXPREG_00001510
Q8EEF6	EXPREG_00001580
Q8EFN3	EXPREG_00001630
Q8EHJ3	EXPREG_00001560
Q8EI70	EXPREG_00001650
Q8F663	EXPREG_00001240
Q8NNC4	EXPREG_00000050
Q8NP59	EXPREG_00000b40
Q8P5C9	EXPREG_00001440
Q8P6Y4	EXPREG_00000a90
Q8P9D2	EXPREG_00001320
Q8PAI3	EXPREG_00000a40
Q8PAL3	EXPREG_000005c0
Q8PBF5	EXPREG_00000b20
Q8PBM1	EXPREG_000002b0
Q8PN77	EXPREG_00000a20
Q8UFK2	EXPREG_000002c0
Q8Y5U9	EXPREG_00001800
Q8Y7H7	EXPREG_000005f0
Q8YMM5	EXPREG_00000370
Q8YU81	EXPREG_000008e0
Q8Z1P4	EXPREG_00000860
Q92L12	EXPREG_000013c0
Q92LL6	EXPREG_00000b30
Q92LT2	EXPREG_000014e0
Q92MX6	EXPREG_00001460
Q92PW3	EXPREG_00000280
Q92TL9	EXPREG_00001500
Q936X4	EXPREG_00000bb0
Q93TT6	EXPREG_00000810
Q9A1M6	EXPREG_00000880
Q9A3Y5	EXPREG_00001690
Q9A724	EXPREG_00000330
Q9A8Q6	EXPREG_00000780
Q9CF33	EXPREG_00001100
Q9CG39	EXPREG_000009c0
Q9CHA6	EXPREG_00001820
Q9HTL4	EXPREG_000017f0
Q9HUS3	EXPREG_00000d30
Q9HUT5	EXPREG_00000ff0
Q9HV30	EXPREG_00000960
Q9HW47	EXPREG_00000ef0
Q9HXD3	EXPREG_00000ec0
Q9HXI7	EXPREG_00000950
Q9HZJ9	EXPREG_00000c10
Q9HZR6	EXPREG_00000d60
Q9HZZ4	EXPREG_000004f0
Q9I0P6	EXPREG_00000970
Q9I0Z0	EXPREG_00000940
Q9I1P2	EXPREG_00001640
Q9I1R1	EXPREG_00000c70
Q9JZ70	EXPREG_000005b0
Q9KKZ8	EXPREG_000017d0
Q9KNW6	EXPREG_00001540
Q9KP49	EXPREG_00000040
Q9KPA6	EXPREG_00001010
Q9KQU4	EXPREG_00000830
Q9KR96	EXPREG_00000850
Q9KSX6	EXPREG_000007d0
Q9KT56	EXPREG_00000130
Q9KU59	EXPREG_00001340
Q9KVP9	EXPREG_00000230
Q9L062	EXPREG_000012e0
Q9L2H5	EXPREG_00000820
Q9L4P1	EXPREG_00000610
Q9PDH1	EXPREG_00000910
Q9PFB1	EXPREG_00001450
Q9PH24	EXPREG_00000240
Q9Z8Z1	EXPREG_00000da0
Q9ZFA4	EXPREG_000002f0
Q9ZIP8	EXPREG_00000b10
Q9ZM26	EXPREG_00000c90
R4NTK7	EXPREG_000010e0
S5RJF3	EXPREG_00001290
T1ZD52	EXPREG_00001300
V6AIV4	EXPREG_000004e0
